date,week_day,store_id,item_id,sales,returned
2020-06-28,3,29,1,2,0
2020-06-28,3,29,2,0,0
2020-06-28,3,29,3,0,0
2020-06-28,3,29,4,0,0
2020-06-28,3,29,5,0,0
2020-06-28,3,29,6,0,0
2020-06-28,3,29,7,0,0
2020-06-28,3,29,8,0,0
2020-06-28,3,65,1,2,0
2020-06-28,3,65,2,0,0
2020-06-28,3,65,3,0,0
2020-06-28,3,65,4,0,0
2020-06-28,3,65,5,0,0
2020-06-28,3,65,6,0,0
2020-06-28,3,65,7,0,0
2020-06-28,3,65,8,0,0
2020-06-28,3,10,1,3,0
2020-06-28,3,10,2,0,0
2020-06-28,3,10,3,0,0
2020-06-28,3,10,4,0,0
2020-06-28,3,10,5,0,0
2020-06-28,3,10,6,0,0
2020-06-28,3,10,7,0,0
2020-06-28,3,10,8,0,0
2020-06-28,3,114,1,5,0
2020-06-28,3,114,2,0,0
2020-06-28,3,114,3,0,0
2020-06-28,3,114,4,0,0
2020-06-28,3,114,5,0,0
2020-06-28,3,114,6,0,0
2020-06-28,3,114,7,0,0
2020-06-28,3,114,8,0,0
2020-06-28,3,64,1,2,0
2020-06-28,3,64,2,0,0
2020-06-28,3,64,3,0,0
2020-06-28,3,64,4,0,0
2020-06-28,3,64,5,0,0
2020-06-28,3,64,6,0,0
2020-06-28,3,64,7,0,0
2020-06-28,3,64,8,0,0
2020-06-28,3,66,1,1,0
2020-06-28,3,66,2,0,0
2020-06-28,3,66,3,0,0
2020-06-28,3,66,4,0,0
2020-06-28,3,66,5,0,0
2020-06-28,3,66,6,0,0
2020-06-28,3,66,7,0,0
2020-06-28,3,66,8,0,0
2020-06-28,3,67,1,3,0
2020-06-28,3,67,2,0,0
2020-06-28,3,67,3,0,0
2020-06-28,3,67,4,0,0
2020-06-28,3,67,5,0,0
2020-06-28,3,67,6,0,0
2020-06-28,3,67,7,0,0
2020-06-28,3,67,8,0,0
2020-06-28,3,28,1,4,0
2020-06-28,3,28,2,0,0
2020-06-28,3,28,3,0,0
2020-06-28,3,28,4,0,0
2020-06-28,3,28,5,0,0
2020-06-28,3,28,6,0,0
2020-06-28,3,28,7,0,0
2020-06-28,3,28,8,0,0
2020-06-28,3,47,1,5,0
2020-06-28,3,47,2,0,0
2020-06-28,3,47,3,0,0
2020-06-28,3,47,4,0,0
2020-06-28,3,47,5,0,0
2020-06-28,3,47,6,0,0
2020-06-28,3,47,7,0,0
2020-06-28,3,47,8,0,0
2020-06-28,3,113,1,5,0
2020-06-28,3,113,2,0,0
2020-06-28,3,113,3,0,0
2020-06-28,3,113,4,0,0
2020-06-28,3,113,5,0,0
2020-06-28,3,113,6,0,0
2020-06-28,3,113,7,0,0
2020-06-28,3,113,8,0,0
